Condition,Primary_Specialty,Secondary_Specialty,Mapping_Type,Mapping_Rationale
"Acute myocardial infarction",Cardiology,"Internal Medicine",Direct,"Cardiovascular condition with primary relevance to cardiology"
"Autism",Pediatrics,Psychiatry,Multi_specialty,"Relevant to pediatric care with additional psychiatric and behavioral health relevance"
"Parkinsonism, including Parkinson disease",Neurology,,Direct,"Neurologic condition primarily associated with neurology"
"Multiple sclerosis",Neurology,,Direct,"Neurologic condition primarily associated with neurology"
"Epilepsy",Neurology,Pediatrics,Multi_specialty,"Neurologic condition with relevance to pediatric care because epilepsy also occurs in children"
"Dementia, including Alzheimer disease",Neurology,Psychiatry,Multi_specialty,"Neurologic condition with additional behavioral and psychiatric management relevance"
"Heart failure",Cardiology,"Internal Medicine",Direct,"Cardiovascular condition with broader medical management relevance"
"Hypertension","Internal Medicine",Cardiology,Multi_specialty,"Broad adult medical condition with cardiovascular management relevance"
"Ischemic heart disease",Cardiology,"Internal Medicine",Direct,"Cardiovascular condition with primary relevance to cardiology"
"Stroke",Neurology,"Internal Medicine",Multi_specialty,"Neurologic condition with broader medical management relevance"
"Asthma","Internal Medicine",Pediatrics,Closest_available,"No respirology specialty is available in the market dataset; Internal Medicine provides the closest adult medical category with pediatric relevance"
"Chronic obstructive pulmonary disease","Internal Medicine",,Closest_available,"No respirology specialty is available in the market dataset; Internal Medicine is the closest available adult medical category"
"Diabetes mellitus (types combined), excluding gestational diabetes","Internal Medicine",Pediatrics,Closest_available,"Endocrinology is not available in the market dataset; Internal Medicine is the closest available adult medical category with pediatric relevance"
"Use of health services for mental illness and alcohol/drug induced disorders (annual)",Psychiatry,,Direct,"Mental health service utilization measure with primary relevance to psychiatry"
"Use of health services for mood and anxiety disorders (annual)",Psychiatry,,Direct,"Mood and anxiety disorders are primarily associated with psychiatry"
"Use of health services for schizophrenia (annual)",Psychiatry,,Direct,"Schizophrenia-related health service utilization with primary relevance to psychiatry"
"Schizophrenia",Psychiatry,,Direct,"Psychiatric condition primarily associated with psychiatry"
"Arthritis","Orthopedic Surgery","Internal Medicine",Closest_available,"Adult musculoskeletal condition; no rheumatology specialty is available so Orthopedic Surgery is the closest available specialist category"
"Juvenile idiopathic arthritis",Pediatrics,"Orthopedic Surgery",Closest_available,"Pediatric musculoskeletal condition; rheumatology is not available so Pediatrics provides the primary age-related specialty context"
"Osteoarthritis","Orthopedic Surgery","Internal Medicine",Direct,"Adult musculoskeletal and degenerative condition with primary relevance to orthopedic care"
"Rheumatoid arthritis","Internal Medicine","Orthopedic Surgery",Closest_available,"Rheumatology is not available in the market dataset; Internal Medicine provides the closest broad medical category"
"Osteoporosis","Internal Medicine","Orthopedic Surgery",Closest_available,"Endocrinology and rheumatology are not available; Internal Medicine provides the closest broad medical category with orthopedic relevance"
